tome	session_id	organization	president	date
11	36	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-01-02
11	37	ASSEMBLÉE NATIONALE. 	annexe 	1790-01-28
11	38	ASSEMBLÉE NATIONALE. 	n/a	1790-01-29
11	39	ASSEMBLÉE NATIONALE. 	n/a	1790-01-30
11	40	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-01-30
11	41	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-02-01
11	42	ASSEMBLÉE NATIONALE. 	n/a	1790-02-02
11	43	ASSEMBLÉE NATIONALE. 	n/a	1790-02-03
11	44	ASSEMBLÉE NATIONALE. 	n/a	1790-02-04
11	45	ASSEMBLÉE NATIONALE. 	ANNEXE A LA SÉANCE 	1790-02-05
11	46	ASSEMBLÉE NATIONALE. 	n/a	1790-02-06
11	47	ASSEMBLÉE NATIONALE. 	1re ANNEXE 	1790-02-06
11	48	ASSEMBLÉE NATIONALE. 	annexe 	1790-02-07
11	49	ASSEMBLÉE NATIONALE. 	n/a	1790-02-08
11	50	ASSEMBLÉE NATIONALE. 	n/a	1790-02-09
11	51	ASSEMBLÉE NATIONALE.	n/a	1790-02-09
11	52	ASSEMBLÉE NATIONALE. 	n/a	1790-02-10
11	53	ASSEMBLÉE NATIONALE. 	n/a	1790-02-11
11	54	ASSEMBLÉE NATIONALE.	AUX FRANÇAIS. 	1790-02-11
11	55	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-02-11
11	56	ASSEMBLÉE NATIONALE. 	n/a	1790-02-12
11	57	ASSEMBLÉE NATIONALE. 	1er ANNEXE	1790-02-13
11	58	ASSEMBLÉE NATIONALE.	n/a	1790-02-14
11	59	ASSEMBLÉE NATIONALE.	ANNEXE	1790-02-15
11	60	ASSEMBLÉE NATIONALE.	n/a	1790-02-16
11	61	ASSEMBLÉE NATIONALE.	n/a	1790-02-16
11	62	ASSEMBLÉE NATIONALE.	ANNEXES A LA SÉANCE	1790-02-17
11	63	ASSEMBLÉE NATIONALE.	n/a	1790-02-18
11	64	ASSEMBLÉE NATIONALE. 	n/a	1790-02-18
11	65	ASSEMBLÉE NATIONALE. 	n/a	1790-02-19
11	66	ASSEMBLÉE NATIONALE. 	n/a	1790-02-20
11	67	ASSEMBLÉE NATIONALE. 	n/a	1790-02-20
11	68	ASSEMBLÉE NATIONALE. 	PREMIÈRE ANNEXE 	1790-02-22
11	69	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-02-23
11	70	ASSEMBLÉE NATIONALE. 	n/a	1790-02-24
11	71	ASSEMBLÉE NATIONALE. 	n/a	1790-02-25
11	72	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-02-25
